,Individual_Band,Species,Location,Site,Nest,Exp_Year,Adult_or_Nestling,Sex,Experiment,Individual_Treatment,Telomere_Sample_nb,ext_conc,ext_260_280,ext_260_230,sample_id
1,240150379,TRES,Ithaca,Unit_1,134,2020,Adult,F,CortDose,Control,T20N035,27,1.8,1,T_567
2,240150383,TRES,Ithaca,Unit_1,105,2020,Adult,F,CortDose,Cort,T20N088,51,1.889,0.981,T_568
3,240150396,TRES,Ithaca,Unit_1,9,2020,Adult,F,CortDose,Control,T20N133,47,1.808,1.068,T_569
4,240150397,TRES,Ithaca,Unit_1,16,2020,Adult,F,CortDose,Cort,T20N134,82,1.864,1.952,T_570
5,272107217,TRES,Ithaca,Unit_2,115,2020,Adult,F,CortDose,Control,T20N002,42,1.826,1.05,T_571
6,272107361,TRES,Ithaca,Unit_2,29,2020,Adult,F,CortDose,Control,T20N044,31,1.824,1.409,T_572
7,272107748,TRES,Ithaca,Unit_2,105,2020,Adult,F,CortDose,Control,T20N012,44,1.833,0.88,T_573
8,278171875,TRES,Ithaca,Unit_2,117,2020,Adult,F,CortDose,Control,T20N041,29,1.812,0.935,T_574
9,278171877,TRES,Ithaca,Unit_2,37,2020,Adult,F,CortDose,Cort,T20N057,34,1.889,0.723,T_575
10,278172145,TRES,Ithaca,Unit_2,114,2020,Adult,F,CortDose,Cort,T20N017,36,1.895,0.679,T_576
11,278172147,TRES,Ithaca,Unit_4,72,2020,Adult,F,CortMovement,Control,T20N080,29,1.933,0.674,T_577
12,278172154,TRES,Ithaca,Unit_2,79,2020,Adult,F,CortDose,Cort,T20N028,33,2.062,0.647,T_578
13,278172163,TRES,Ithaca,Unit_2,66,2020,Adult,F,CortDose,Control,T20N063,53,1.893,0.855,T_579
14,278172411,TRES,Ithaca,Unit_4,91,2020,Adult,F,CortMovement,Control,T20N096,59,1.903,0.983,T_580
15,281128450,TRES,Ithaca,Unit_1,32,2020,Adult,F,CortDose,Cort,T20N059,54,1.862,1.174,T_581
16,281128549,TRES,Ithaca,Unit_2,103,2020,Adult,F,CortDose,Cort,T20N011,50,2,0.758,T_582
