Gel, Telomere ID,Individual Treatment,Capture Date,Site,Nest,Age,Mass,Bill+Head,Flat Wing,Nestling Fate,Mean TRF,,,
1,T21N 186,Cold_Control,12-Jun-21,Unit_2,19,10,23.3,25.3,41,Fledged,8.66,,,
1,T21N 187,Cold_Cold,12-Jun-21,Unit_2,23,10,22,26.3,48,Fledged,10.57,,,
1,T21N 189,Cold_Control,12-Jun-21,Unit_2,63,10,17.3,23.4,37,Dead,9.46,,,
1,T21N 190,Cold_Cold,12-Jun-21,Unit_2,70,10,-,25.8,45,Fledged,10.26,,,
1,T21N 214,Cold_Control,13-Jun-21,Unit_2,18,12,21.2,28.8,56,Fledged,10.96,,,
1,T21N 215,Cold_Control,13-Jun-21,Unit_2,18,12,19.6,29,58,Fledged,10.17,,,
1,T21N 238,Cold_Control,14-Jun-21,Unit_1,23,10,20,24.8,45,Fledged,8.16,,,
1,T21N 247,Cold_Cold,14-Jun-21,Unit_1,62,12,19.3,26.4,51,Dead,9.69,,,
1,T21N 249,Cold_Cold,14-Jun-21,Unit_1,62,12,19.5,25.9,50,Dead,9.51,,,
1,T21N 255,Cold_Cold,14-Jun-21,Unit_2,70,12,20,26.2,58,Fledged,12.53,,,
1,T21N 256A,Cold_Cold,14-Jun-21,Unit_2,70,12,20.4,25.3,50,Fledged,10.44,,,
1,T21N 256B,Cold_Cold,14-Jun-21,Unit_2,70,12,20.4,25.3,50,Fledged,10.29,,,
1,T21N 257,Cold_Cold,14-Jun-21,Unit_2,70,12,20,25.5,47,Fledged,11.48,,,
1,T21N 264,Cold_Control,14-Jun-21,Unit_2,120,12,20.6,26.8,60,Fledged,8.91,,,
1,T21N 266,Cold_Control,14-Jun-21,Unit_2,120,12,21.1,26.9,59,Fledged,9.05,,,
1,T21N 273,Cold_Cold,14-Jun-21,Unit_2,23,12,20.5,27,57,Fledged,9.93,,,
1,T21N 282,Cold_Control,14-Jun-21,Unit_2,63,12,18,26.1,51,Dead,8.95,,,
1,T21N 283,Cold_Control,14-Jun-21,Unit_2,63,12,17.9,25.7,48,Dead,11.27,,,
1,T21N 284,Cold_Control,14-Jun-21,Unit_2,63,12,14.7,24.7,44,Dead,10.8,,,
1,T21N 307,Cold_Cold,15-Jun-21,Unit_2,6,12,19.5,26.6,53,Fledged,8.21,,,
1,T21N 313,Cold_Cold,15-Jun-21,Unit_2,123,12,19.4,26.5,58,Fledged,9.91,,,
1,T21N 314A,Cold_Cold,15-Jun-21,Unit_2,123,12,18.7,26.4,57,Fledged,10.18,,,
1,T21N 314B,Cold_Cold,15-Jun-21,Unit_2,123,12,18.7,26.4,57,Fledged,9.7,,,
1,T21N 316,Cold_Cold,15-Jun-21,Unit_2,123,12,20,27.4,64,Fledged,9.07,,,
1,T21N 382,Cold_Cold,16-Jun-21,Unit_1,89,12,18.3,25.8,56,Fledged,9.94,,,
1,T21N 387,Cold_Control,16-Jun-21,Unit_1,114,12,19.6,25.2,58,Fledged,7.46,,,
1,T21N 388,Cold_Control,16-Jun-21,Unit_1,114,12,18.6,26.1,53,Fledged,7.73,,,
2,T21N 188,Cold_Cold,12-Jun-21,Unit_2,44,10,22.2,25.4,49,Fledged,11.02,,,
2,T21N 213,Cold_Control,13-Jun-21,Unit_2,18,12,20,27.9,57,Fledged,9.08,,,
2,T21N 216,Cold_Cold,13-Jun-21,Unit_2,123,10,18.4,25.4,46,Fledged,10,,,
2,T21N 232,Cold_Cold,14-Jun-21,Unit_1,13,12,23.7,26.6,58,Fledged,8.33,,,
2,T21N 237,Cold_Control,14-Jun-21,Unit_1,23,10,21.5,25.3,46,Dead,7.95,,,
2,T21N 239,Cold_Control,14-Jun-21,Unit_1,23,10,24.9,23.1,48,Fledged,8.75,,,
2,T21N 240,Cold_Control,14-Jun-21,Unit_1,23,10,22.3,26,50,Fledged,8.03,,,
2,T21N 246,Cold_Cold,14-Jun-21,Unit_1,62,12,17.3,25.1,48,Dead,11.04,,,
2,T21N 250,Cold_Cold,14-Jun-21,Unit_1,62,12,19.1,23.9,49,Fledged,10.08,,,
2,T21N 259,Cold_Cold,14-Jun-21,Unit_2,72,10,20.8,24.8,42,Fledged,10.36,,,
2,T21N 267,Cold_Cold,14-Jun-21,Unit_2,7,12,17.5,26.7,53,Fledged,11.67,,,
2,T21N 268,Cold_Cold,14-Jun-21,Unit_2,7,12,18.2,25.4,48,Dead,10.06,,,
2,T21N 274,Cold_Cold,14-Jun-21,Unit_2,23,12,19.3,26.1,56,Fledged,11.11,,,
2,T21N 275,Cold_Cold,14-Jun-21,Unit_2,23,12,20.5,26.4,57,Fledged,10.44,,,
2,T21N 276,Cold_Cold,14-Jun-21,Unit_2,23,12,17.6,25.5,55,Fledged,10.91,,,
2,T21N 277,Cold_Cold,14-Jun-21,Unit_2,44,12,20,27.1,54,Fledged,11.2,,,
2,T21N 381A,Cold_Cold,16-Jun-21,Unit_1,89,12,16.8,25.1,55,Fledged,9.81,,,
2,T21N 383,Cold_Cold,16-Jun-21,Unit_1,89,12,17.5,26,54,Fledged,9.32,,,
2,T21N 384B,Cold_Cold,16-Jun-21,Unit_1,89,12,18.2,25.6,56,Fledged,8.18,,,
2,T21N 385,Cold_Control,16-Jun-21,Unit_2,92,12,21.1,25.9,51,Fledged,9.34,,,
2,T21N 386,Cold_Control,16-Jun-21,Unit_1,114,12,20.6,26.5,56,Fledged,8.33,,,
2,T21N 389,Cold_Control,16-Jun-21,Unit_1,114,12,20.8,26.5,58,Fledged,7.7,,,
3,T21N 182,Cold_Cold,12-Jun-21,Unit_1,13,10,24.4,26.3,45,Fledged,8.41,,,
3,T21N 184,Cold_Cold,12-Jun-21,Unit_1,62,10,24.1,15.3,33,Dead,10.4,,,
3,T21N 185,Cold_Cold,12-Jun-21,Unit_2,7,10,17.6,24.9,43,Fledged,12.38,,,
3,T21N 191,Cold_Control,12-Jun-21,Unit_2,120,10,20,26.7,48,Fledged,7.98,,,
3,T21N 212,Cold_Cold,13-Jun-21,Unit_2,6,10,20.9,26.2,43,Fledged,8.01,,,
3,T21N 233,Cold_Cold,14-Jun-21,Unit_1,13,12,21.7,26.5,55,Fledged,7.42,,,
3,T21N 235,Cold_Cold,14-Jun-21,Unit_1,13,12,22.1,26.9,58,Fledged,8.39,,,
3,T21N 236,Cold_Control,14-Jun-21,Unit_1,19,10,20.8,26.2,48,Fledged,10.53,,,
3,T21N 242,Cold_Control,14-Jun-21,Unit_1,25,12,18.3,26.3,52,Dead,10.66,,,
3,T21N 243,Cold_Control,14-Jun-21,Unit_1,25,12,19.5,26.3,50,Fledged,11.6,,,
3,T21N 244,Cold_Control,14-Jun-21,Unit_1,25,12,20.3,26.7,57,Fledged,9.87,,,
3,T21N 245,Cold_Control,14-Jun-21,Unit_1,25,12,18.1,26.1,58,Dead,11.49,,,
3,T21N 253,Cold_Control,14-Jun-21,Unit_1,114,10,22.1,25.1,42,Fledged,8.51,,,
3,T21N 254,Cold_Cold,14-Jun-21,Unit_2,70,12,19.7,26.4,58,Fledged,11.65,,,
3,T21N 262,Cold_Control,14-Jun-21,Unit_2,120,12,22.7,27,61,Fledged,7.87,,,
3,T21N 269,Cold_Cold,14-Jun-21,Unit_2,7,12,19.5,26.6,53,Dead,9.8,,,
3,T21N 270,Cold_Control,14-Jun-21,Unit_2,19,12,21.9,26.1,52,Fledged,8.33,,,
3,T21N 271,Cold_Control,14-Jun-21,Unit_2,19,12,20,27,60,Fledged,7.39,,,
3,T21N 272,Cold_Control,14-Jun-21,Unit_2,19,12,21.1,26.1,55,Fledged,7.6,,,
3,T21N 278,Cold_Cold,14-Jun-21,Unit_2,44,12,20,27,56,Fledged,8.99,,,
3,T21N 279,Cold_Cold,14-Jun-21,Unit_2,44,12,17.3,26.4,53,Dead,11.5,,,
3,T21N 309,Cold_Cold,15-Jun-21,Unit_2,6,12,20.8,26.4,56,Fledged,11.21,,,
3,T21N 310,Cold_Cold,15-Jun-21,Unit_2,123,12,17.6,26.4,57,Fledged,9.06,,,
3,T21N 311,Cold_Cold,15-Jun-21,Unit_2,123,12,17.6,26.2,55,Fledged,10.62,,,
3,T21N 312,Cold_Cold,15-Jun-21,Unit_2,123,12,19.1,26.5,58,Fledged,11.36,,,
4,T21N 175B,Cold_Control,11-Jun-21,Unit_2,18,10,20.9,25.5,47,Fledged,8.81,,,
4,T21N 183B,Cold_Control,12-Jun-21,Unit_1,25,10,18.6,25,45,Dead,10.7,,,
4,T21N 192B,Cold_Control,12-Jun-21,Unit_2,120,10,22.3,26.6,51,Fledged,7.94,,,
4,T21N 211,Cold_Control,13-Jun-21,Unit_1,81,10,22,27.4,46,Fledged,9.49,,,
4,T21N 234,Cold_Cold,14-Jun-21,Unit_1,13,12,20,26.4,60,Fledged,8.43,,,
4,T21N 241B,Cold_Control,14-Jun-21,Unit_1,25,12,18.2,26.4,56,Dead,10.54,,,
4,T21N 251,Cold_Cold,14-Jun-21,Unit_1,62,12,14.1,24.3,40,Dead,9.73,,,
4,T21N 252B,Cold_Cold,14-Jun-21,Unit_1,89,10,23.1,24.8,42,Fledged,9.43,,,
4,T21N 258B,Cold_Control,14-Jun-21,Unit_2,92,10,21.2,25.1,45,Fledged,9.9,,,
4,T21N 260B,Cold_Control,14-Jun-21,Unit_2,82,10,21.2,25.9,50,Fledged,9.43,,,
4,T21N 261B,Cold_Control,14-Jun-21,Unit_2,120,12,21.6,26.8,57,Fledged,8.4,,,
4,T21N 263,Cold_Control,14-Jun-21,Unit_2,120,12,22.1,26.7,60,Fledged,8.15,,,
4,T21N 280B,Cold_Cold,14-Jun-21,Unit_2,44,12,17.6,27,57,Fledged,10.42,,,
4,T21N 281,Cold_Control,14-Jun-21,Unit_2,63,12,17.6,25.1,43,Dead,9.74,,,
4,T21N 317,Cold_Cold,15-Jun-21,Unit_1,51,10,19.2,25.3,39,Dead,11.84,,,
